Срок;Статус;ID;Что сделать;Кто;Кому;Основание;Канал;Шаблон письма;Как посчитан срок;Примечание
2026-11-06;запланировано (44 р.д.);Э-02.1;Уведомить Заказчика о готовности к приемочным испытаниям, приложить Программу и методику приемочных испытаний (Заказчик согласует ПМИ и дату за 5 рабочих дней) (Этап 1);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо + email;;за 10 р.д. до 2026-11-20;Заложить минимум 10 рабочих дней: 5 на согласование ПМИ Заказчиком + сами испытания + 2 на согласование протокола
2026-11-13;запланировано (49 р.д.);П-05;Направить на ib@pkmiac.ru Заявку на подключение к ГИС СЗ ПК, Акт классификации ИС, Технический паспорт на ИС, Заключение по результатам соответствия требованиям по защите информации (или Акт оценки эффективности мер защиты);Исполнитель;Заказчик (ib@pkmiac.ru);ТЗ п. 4.2.1;электронная почта;2_Шаблоны_писем/01_О_запросе_данных_и_доступа_к_стендам.docx;за 5 р.д. до 2026-11-20;"Сама заявка уходит на ib@pkmiac.ru отдельно; о факте её отправки Заказчик уведомляется письмом по шаблону 01"
2026-11-23;запланировано (55 р.д.);Э-02.2;Уведомить Заказчика о готовности к приемочным испытаниям, приложить Программу и методику приемочных испытаний (Заказчик согласует ПМИ и дату за 5 рабочих дней) (Этап 2);Исполнитель;Заказчик;ТЗ п. 4.2.4.1;официальное письмо + email;;за 10 р.д. до 2026-12-07;Заложить минимум 10 рабочих дней: 5 на согласование ПМИ Заказчиком + сами испытания + 2 на согласование протокола
;ждём событие;П-01;Передать Заказчику контактные данные ответственных представителей Исполнителя и адреса электронной почты для обмена документами;Исполнитель;Заказчик;ТЗ п. 4.2.1;официальное письмо;2_Шаблоны_писем/01_О_запросе_данных_и_доступа_к_стендам.docx;ждём событие «контракт_заключен» — отметьте его в журнале;Одно письмо (шаблон 01) закрывает сразу П-01, П-05 и П-06: контакты, уведомление о направленной заявке и запрос доступа к стендам
;ждём событие;П-02;Заключить Договор поручения на обработку персональных данных по форме Приложения №3 к ТЗ;Исполнитель;Заказчик;ТЗ п. 4.2.1;официальное письмо;2_Шаблоны_писем/02_О_заключении_Договора_поручения_на_обработку_ПД.docx;ждём событие «контракт_заключен» — отметьте его в журнале;
;ждём событие;П-03;Уведомить Заказчика о выбранном способе оказания услуг (разработка ПО либо адаптация ПО);Исполнитель;Заказчик;ТЗ п. 4.2.3;официальное письмо;2_Шаблоны_писем/03_О_способе_исполнения_контракта.docx;ждём событие «контракт_заключен» — отметьте его в журнале;Способ исполнения берётся из ГК. Письмо направляет перечень компонентов ПО (по отдельной таблице компонентов) и документы об исключительном праве (п. 7 ТЗ)
;по необходимости;П-04;Запросить у Заказчика исходные данные и документы, необходимые для оказания услуг (ответ Заказчика — 5 рабочих дней);Исполнитель;Заказчик;ТЗ п. 1.9, 4.2.4;официальное письмо;;по мере необходимости;
;по необходимости;П-06;Запросить доступ к предпродуктивному и продуктивному стендам РЦОД (Заказчик предоставляет за 3 рабочих дня);Исполнитель;Заказчик;ТЗ п. 4.2.3;официальное письмо;2_Шаблоны_писем/01_О_запросе_данных_и_доступа_к_стендам.docx;по мере необходимости;Входит в письмо по шаблону 01. Доступ запрашивается на срок до полного исполнения обязательств, включая гарантию
;ждём событие;П-07;Передать Заказчику методологию обезличивания персональных данных на предпродуктивном стенде (команды, скрипты, процедуры, перечень изменяемых объектов);Исполнитель;Заказчик;ТЗ п. 4.2.2;официальное письмо;2_Шаблоны_писем/05_О_направлении_Методологии_обезличивания.docx;ждём событие «доступ_к_стендам_получен» — отметьте его в журнале;
;ждём событие;П-08;"Направить в МИАЦ Соглашение об установлении межсетевого взаимодействия (ViPNet, схема подключения Г); по последующим контрактам — дополнительное соглашение к действующему Соглашению";Исполнитель;ГАУЗ «ПК МИАЦ», директор А.В. Потылицын;ТЗ п. 4.2.1, Регламент подключения п. 3.2.5.2, п. 3.2.5.4;официальное письмо;2_Шаблоны_писем/04_О_заключении_Соглашения_о_межсетевом_взаимодействии.docx;ждём событие «контракт_заключен» — отметьте его в журнале;Адресат — МИАЦ, а не Минздрав. Подключение всегда по схеме Г. Первый контракт — новое Соглашение, последующие — доп. соглашение к нему. Без Соглашения удалённое подключение к серверам невозможно, поэтому идёт в самом начале вместе с заявкой
